iata,name,city,state,longitude,latitude
TEX,"Telluride, CO",Telluride,CO,-107.8269,37.9364
TXK,"Texarkana, AR",Texarkana,AR,-93.996,33.4361
TDZ,"Toledo, OH",Toledo,OH,-83.5822,41.6639
TVC,"Traverse City, MI",Traverse City,MI,-85.6035,44.7547
TUS,"Tucson, AZ",Tucson,AZ,-110.8782,32.1545
TUL,"Tulsa, OK",Tulsa,OK,-95.9042,36.1284
TWF,"Twin Falls, ID",Twin Falls,ID,-114.4615,42.5645
TYR,"Tyler, TX",Tyler,TX,-95.3062,32.3184
CMI,"Urbana, IL",Urbana,IL,-88.1972,40.1106
VLD,"Valdosta, GA",Valdosta,GA,-83.2788,30.8502
VPS,"Valparaiso, FL",Valparaiso,FL,-86.5079,30.4926
JAN,"Vicksburg, MS",Vicksburg,MS,-90.8868,32.3173
DCA,"Washington, DC",Washington,DC,-77.0163,38.9047
ALO,"Waterloo, IA",Waterloo,IA,-92.3522,42.492
PBI,"West Palm Beach, FL",West Palm Beach,FL,-80.1316,26.7468
HPN,"White Plains, NY",White Plains,NY,-73.7549,41.022
SPS,"Wichita Falls, TX",Wichita Falls,TX,-98.5291,33.9072
ICT,"Wichita, KS",Wichita,KS,-97.3442,37.6896
WBW,"Wilkes-Barre, PA",Wilkes-Barre,PA,-75.8759,41.2468
ILM,"Wilmington, NC",Wilmington,NC,-77.8866,34.21
WRG,"Wrangell, AK",Wrangell,AK,-132.0223,56.3317
YAK,"Yakutat, AK",Yakutat,AK,-139.5966,59.567
YUM,"Yuma, AZ",Yuma,AZ,-114.5488,32.5992
